profile,run,drop_ns,input_nodes,iterations,lower_ns,native,output_counts,round,source,variant
release,0,616874,343,69,4135248,False,"[276, 90, 14, 0]",10,lib/tests/core/fact.zy,recursive
release,0,533662,343,69,3739375,False,"[276, 90, 14, 0]",11,lib/tests/core/fact.zy,jobs
release,0,598079,343,69,4062166,False,"[276, 90, 14, 0]",11,lib/tests/core/fact.zy,baseline
release,0,952793,343,69,4751456,False,"[276, 90, 14, 0]",11,lib/tests/core/fact.zy,explicit
release,0,492833,343,69,3650254,False,"[276, 90, 14, 0]",11,lib/tests/core/fact.zy,recursive
release,0,440456,343,69,3528086,False,"[276, 90, 14, 0]",11,lib/tests/core/fact.zy,original
release,0,529000,343,69,4128421,False,"[276, 90, 14, 0]",12,lib/tests/core/fact.zy,baseline
release,0,533209,343,69,3686910,False,"[276, 90, 14, 0]",12,lib/tests/core/fact.zy,explicit
release,0,447998,343,69,3440708,False,"[276, 90, 14, 0]",12,lib/tests/core/fact.zy,recursive
release,0,524631,343,69,3765206,False,"[276, 90, 14, 0]",12,lib/tests/core/fact.zy,original
release,0,497335,343,69,3559582,False,"[276, 90, 14, 0]",12,lib/tests/core/fact.zy,jobs
release,0,448918,343,69,3575540,False,"[276, 90, 14, 0]",13,lib/tests/core/fact.zy,explicit
release,0,465832,343,69,3463377,False,"[276, 90, 14, 0]",13,lib/tests/core/fact.zy,recursive
release,0,443458,343,69,3525707,False,"[276, 90, 14, 0]",13,lib/tests/core/fact.zy,original
release,0,464793,343,69,3191621,False,"[276, 90, 14, 0]",13,lib/tests/core/fact.zy,jobs
release,0,449169,343,69,3794876,False,"[276, 90, 14, 0]",13,lib/tests/core/fact.zy,baseline
release,0,481869,343,69,3531667,False,"[276, 90, 14, 0]",14,lib/tests/core/fact.zy,recursive
release,0,514042,343,69,3624412,False,"[276, 90, 14, 0]",14,lib/tests/core/fact.zy,original
release,0,438752,343,69,3170587,False,"[276, 90, 14, 0]",14,lib/tests/core/fact.zy,jobs
release,0,507208,343,69,3907585,False,"[276, 90, 14, 0]",14,lib/tests/core/fact.zy,baseline
release,0,438797,343,69,3568459,False,"[276, 90, 14, 0]",14,lib/tests/core/fact.zy,explicit
release,0,427335,343,69,3496918,False,"[276, 90, 14, 0]",15,lib/tests/core/fact.zy,original
release,0,473415,343,69,3535419,False,"[276, 90, 14, 0]",15,lib/tests/core/fact.zy,jobs
release,0,426621,343,69,3638169,False,"[276, 90, 14, 0]",15,lib/tests/core/fact.zy,baseline
release,0,456501,343,69,3696587,False,"[276, 90, 14, 0]",15,lib/tests/core/fact.zy,explicit
release,0,557871,343,69,4387044,False,"[276, 90, 14, 0]",15,lib/tests/core/fact.zy,recursive
release,0,644580,343,69,4048673,False,"[276, 90, 14, 0]",16,lib/tests/core/fact.zy,jobs
release,0,545455,343,69,4683411,False,"[276, 90, 14, 0]",16,lib/tests/core/fact.zy,baseline
release,0,545498,343,69,3774289,False,"[276, 90, 14, 0]",16,lib/tests/core/fact.zy,explicit
release,0,591123,343,69,3914418,False,"[276, 90, 14, 0]",16,lib/tests/core/fact.zy,recursive
release,0,520500,343,69,4421620,False,"[276, 90, 14, 0]",16,lib/tests/core/fact.zy,original
