experiment,profile,run,allocs,native,output_counts,peak_extra_bytes,reallocs,requested_bytes,round,source,variant
selected,debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,6,lib/tests/core/fact.zy,baseline
selected,debug,0,760,True,"[265, 89, 14, 13]",181993,6,302511,6,lib/tests/core/fact.zy,trim
selected,debug,0,760,True,"[265, 89, 14, 13]",181993,6,302511,7,lib/tests/core/fact.zy,trim_direct
selected,debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,7,lib/tests/core/fact.zy,baseline
selected,debug,0,760,True,"[265, 89, 14, 13]",181993,6,302511,7,lib/tests/core/fact.zy,trim
selected,debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,7,lib/tests/core/fact.zy,direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,0,lib/tests/core/pattern-alias.zy,baseline
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,0,lib/tests/core/pattern-alias.zy,trim
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,0,lib/tests/core/pattern-alias.zy,direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,0,lib/tests/core/pattern-alias.zy,trim_direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,1,lib/tests/core/pattern-alias.zy,trim
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,1,lib/tests/core/pattern-alias.zy,direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,1,lib/tests/core/pattern-alias.zy,trim_direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,1,lib/tests/core/pattern-alias.zy,baseline
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,2,lib/tests/core/pattern-alias.zy,direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,2,lib/tests/core/pattern-alias.zy,trim_direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,2,lib/tests/core/pattern-alias.zy,baseline
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,2,lib/tests/core/pattern-alias.zy,trim
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,3,lib/tests/core/pattern-alias.zy,trim_direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,3,lib/tests/core/pattern-alias.zy,baseline
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,3,lib/tests/core/pattern-alias.zy,trim
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,3,lib/tests/core/pattern-alias.zy,direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,4,lib/tests/core/pattern-alias.zy,baseline
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,4,lib/tests/core/pattern-alias.zy,trim
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,4,lib/tests/core/pattern-alias.zy,direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,4,lib/tests/core/pattern-alias.zy,trim_direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,5,lib/tests/core/pattern-alias.zy,trim
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,5,lib/tests/core/pattern-alias.zy,direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,5,lib/tests/core/pattern-alias.zy,trim_direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,5,lib/tests/core/pattern-alias.zy,baseline
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,6,lib/tests/core/pattern-alias.zy,direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,6,lib/tests/core/pattern-alias.zy,trim_direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,6,lib/tests/core/pattern-alias.zy,baseline
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,6,lib/tests/core/pattern-alias.zy,trim
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,7,lib/tests/core/pattern-alias.zy,trim_direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,7,lib/tests/core/pattern-alias.zy,baseline
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,7,lib/tests/core/pattern-alias.zy,trim
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,7,lib/tests/core/pattern-alias.zy,direct
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,0,lib/tests/core/pattern-alias.zy,baseline
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,0,lib/tests/core/pattern-alias.zy,trim
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,0,lib/tests/core/pattern-alias.zy,direct
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,0,lib/tests/core/pattern-alias.zy,trim_direct
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,1,lib/tests/core/pattern-alias.zy,trim
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,1,lib/tests/core/pattern-alias.zy,direct
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,1,lib/tests/core/pattern-alias.zy,trim_direct
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,1,lib/tests/core/pattern-alias.zy,baseline
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,2,lib/tests/core/pattern-alias.zy,direct
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,2,lib/tests/core/pattern-alias.zy,trim_direct
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,2,lib/tests/core/pattern-alias.zy,baseline
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,2,lib/tests/core/pattern-alias.zy,trim
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,3,lib/tests/core/pattern-alias.zy,trim_direct
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,3,lib/tests/core/pattern-alias.zy,baseline
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,3,lib/tests/core/pattern-alias.zy,trim
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,3,lib/tests/core/pattern-alias.zy,direct
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,4,lib/tests/core/pattern-alias.zy,baseline
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,4,lib/tests/core/pattern-alias.zy,trim
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,4,lib/tests/core/pattern-alias.zy,direct
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,4,lib/tests/core/pattern-alias.zy,trim_direct
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,5,lib/tests/core/pattern-alias.zy,trim
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,5,lib/tests/core/pattern-alias.zy,direct
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,5,lib/tests/core/pattern-alias.zy,trim_direct
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,5,lib/tests/core/pattern-alias.zy,baseline
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,6,lib/tests/core/pattern-alias.zy,direct
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,6,lib/tests/core/pattern-alias.zy,trim_direct
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,6,lib/tests/core/pattern-alias.zy,baseline
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,6,lib/tests/core/pattern-alias.zy,trim
